  32.000   16.000    9.000    8.000    7.000    0.950    1.434

  32.000   13.469    9.000    8.000    7.000    0.861    1.170 

  32.000   10.091    9.000    8.000    7.000    0.456    0.674 

  32.000    3.454    5.249    8.000    7.000    0.513   -0.052 

  32.000    3.454    5.249    8.000    5.430    0.379    0.048 

  32.000    2.853    4.911    5.887    4.390    0.302    0.102 

  32.000    2.853    4.911    5.603    4.355    0.041    0.027 

  32.000   -0.235    3.174    5.603    4.355    0.236   -0.161 

  32.000   -0.235    3.174    5.360    4.309    0.366    0.037 

  32.000   -0.298    3.174    5.360    4.309   -0.077    0.049 

  32.000   -0.298    3.174    3.942    4.283    0.013    0.101 

  32.000   -0.298    3.174    3.957    4.269    0.039    0.170 

  32.000   -0.298    3.174    3.957    4.269    0.191    0.252 

  32.000   -0.446    3.174    2.919    3.094    0.351    0.346 

  32.000   -0.464    3.174    2.905    2.486    0.057    0.319 

  32.000   -0.464    3.174    2.905    2.383    0.205    0.263 

  32.000   -0.488    3.174    2.909    2.523    0.256    0.069 

  32.000   -0.488    3.174    2.909    1.769    0.338    0.052 

  32.000   -0.488    3.174    2.909    1.769    0.157    0.141 

  32.000   -0.488    3.174    2.853    1.817    0.586    0.199 

  32.000   -0.488    3.174    2.853    1.817    0.714    0.406 

  32.000   -0.488    3.174    2.028    0.977    1.003    0.389 

  32.000   -0.488    3.174    1.255    0.974    0.997    0.420 

  32.000   -0.423    3.174    1.261    0.974    1.314    0.592 

  32.000   -0.310    3.174    1.332    1.084    1.045    0.543 

  32.000   -0.310    3.174    0.899    0.819    1.151    0.319 

  32.000   -0.327    3.164    0.873    0.819    0.524    0.212 

  32.000   -0.271    2.226    0.873    0.819    0.567    0.266 

  32.000   -0.271    2.226    0.618    0.819    0.446    0.157 

  32.000   -0.271    2.182    0.495    0.243   -0.214    0.049 

  32.000   -0.271    2.182    0.624    0.227   -0.164   -0.026 

  32.000   -0.365    2.182    0.653    0.256    0.047   -0.043 

  32.000   -0.280    2.182    0.749    0.326   -0.053   -0.116 

  32.000   -0.720    2.182    0.766    0.316   -0.173   -0.107 

  32.000   -0.720    2.182    0.766    0.297   -0.060    0.066 

  32.000   -0.738    2.182    0.766    0.297   -0.061    0.100 

  32.000   -0.800    2.182    0.766    0.300   -0.060   -0.048 

  32.000   -0.911    2.182    0.766   -0.105    0.290   -0.158 

  32.000   -0.911    2.182    0.453   -0.137    0.014    0.038 

  32.000   -0.949    2.182    0.453   -0.124   -0.028    0.180 

  32.000   -0.936    2.182    0.453   -0.112   -0.002    0.139 

  32.000   -0.753    2.182    0.741   -0.044    0.310    0.133 

  32.000   -0.753    2.161    0.701   -0.125    0.242    0.171 

  32.000   -0.840    2.161    0.701   -0.133    0.260    0.157 

  32.000   -0.840    2.161    0.739   -0.141   -0.055    0.047 

  32.000   -0.840    2.161    0.739   -0.141   -0.044   -0.111 

  32.000   -0.823    1.942    0.751   -0.165    0.198   -0.026 

  32.000   -0.735    1.942    0.768   -0.201    0.036    0.066 

  32.000   -0.420    1.942    0.768   -0.174   -0.057    0.272 

  32.000   -0.481    1.942    0.769   -0.175    0.220    0.131 

  32.000   -0.552    1.942    0.778   -0.175    0.421    0.038 

  32.000   -0.529    1.942    0.521   -0.154    0.167    0.069 

  32.000   -0.504    1.942    0.521   -0.154    0.175    0.283 

  32.000   -0.557    1.942    0.642    0.074    0.118    0.446 

  32.000   -0.538    1.942    0.642    0.074    0.048   -0.096 

  32.000   -0.503    1.942    0.750    0.071    0.071   -0.219 

  32.000   -0.293    1.894    0.669    0.120    0.247   -0.143 

  32.000   -0.344    1.894    0.669    0.120    0.234    0.084 

  32.000   -0.361    1.780    0.689    0.061    0.213    0.122 

  32.000   -0.415    1.780    0.689    0.061    0.372    0.199 

  32.000   -0.156    1.770    0.848    0.105    0.152    0.327 

  32.000   -0.250    1.698    0.848    0.105    0.212    0.172 

  32.000   -0.256    1.698    0.840    0.123   -0.124    0.125 

  32.000   -0.131    1.758    0.840    0.092   -0.283    0.190 

  32.000   -0.132    1.758    0.812    0.092   -0.091    0.393 

  32.000   -0.101    1.788    0.751   -0.001   -0.118    0.153 

  32.000   -0.101    1.788    0.751   -0.001    0.059    0.003 

  32.000   -0.010    1.181    0.477   -0.022   -0.052    0.096 

  32.000   -0.247    1.214    0.505   -0.022    0.059   -0.101 

  32.000   -0.177    1.214    0.505   -0.022    0.128   -0.067 

9999
